Ano,RA,Nome,Fase,Fase_Num,Fase_Ideal,Turma,Idade,Gênero,Ano ingresso,Instituicao_Ensino,Pedra_Atual,INDE,IAA,IEG,IPS,IPP,IDA,Matematica,Portugues,Ingles,IPV,IAN,Defasagem,Pendente_Inclusao
2022,RA-1,Aluno-1,7,7.0,Fase 8 (Universitários),A,19,Feminino,2016,Escola Pública,Quartzo,5.783,8.3,4.1,5.6,,4.0,2.7,3.5,6.0,7.278,5.0,-1,False
2022,RA-2,Aluno-2,7,7.0,Fase 7 (3º EM),A,17,Feminino,2017,Rede Decisão,Ametista,7.055,8.8,5.2,6.3,,6.8,6.3,4.5,9.7,6.778,10.0,0,False
2022,RA-3,Aluno-3,7,7.0,Fase 7 (3º EM),A,17,Feminino,2016,Rede Decisão,Ágata,6.591,0.0,7.9,5.6,,5.6,5.8,4.0,6.9,7.556,10.0,0,False
2022,RA-4,Aluno-4,7,7.0,Fase 7 (3º EM),A,17,Masculino,2017,Rede Decisão,Quartzo,5.951,8.8,4.5,5.6,,5.0,2.8,3.5,8.7,5.278,10.0,0,False
2022,RA-5,Aluno-5,7,7.0,Fase 7 (3º EM),A,17,Feminino,2016,Rede Decisão,Ametista,7.427,7.9,8.6,5.6,,5.2,7.0,2.9,5.7,7.389,10.0,0,False
2022,RA-6,Aluno-6,7,7.0,Fase 8 (Universitários),A,18,Feminino,2021,Escola Pública,Quartzo,5.848,7.9,4.5,7.5,,3.3,2.3,5.3,2.3,7.222,5.0,-1,False
2022,RA-7,Aluno-7,7,7.0,Fase 8 (Universitários),A,18,Masculino,2017,Rede Decisão,Ágata,6.818,0.0,8.4,7.5,,7.6,8.2,5.7,9.0,7.667,5.0,-1,False
2022,RA-8,Aluno-8,7,7.0,Fase 8 (Universitários),A,20,Feminino,2018,Escola Pública,Quartzo,4.786,7.1,4.6,6.3,,1.6,1.2,0.7,2.9,6.278,5.0,-1,False
2022,RA-9,Aluno-9,7,7.0,Fase 8 (Universitários),A,18,Feminino,2019,Escola Pública,Topázio,8.109,8.8,9.5,7.5,,6.7,5.5,6.0,8.7,9.5,5.0,-1,False
2022,RA-10,Aluno-10,7,7.0,Fase 8 (Universitários),A,18,Feminino,2021,Escola Pública,Quartzo,5.784,8.3,5.2,5.0,,4.1,3.3,2.6,6.4,7.056,5.0,-1,False
2022,RA-11,Aluno-11,7,7.0,Fase 8 (Universitários),A,18,Feminino,2016,Escola Pública,Quartzo,5.323,9.2,4.2,5.0,,3.0,1.8,2.5,4.5,6.389,5.0,-1,False
2022,RA-12,Aluno-12,7,7.0,Fase 7 (3º EM),A,17,Feminino,2020,Escola Pública,Quartzo,4.832,0.0,4.0,6.9,,1.5,2.7,1.1,0.7,6.389,10.0,0,False
2022,RA-13,Aluno-13,7,7.0,Fase 8 (Universitários),A,18,Masculino,2016,Escola Pública,Ágata,6.902,7.9,7.4,7.5,,4.7,3.5,5.5,5.2,8.056,5.0,-1,False
2022,RA-14,Aluno-14,7,7.0,Fase 8 (Universitários),D,21,Masculino,2022,Escola Pública,Ágata,6.793,7.9,8.3,7.5,,4.0,8.0,0.0,,7.75,5.0,-1,False
2022,RA-15,Aluno-15,7,7.0,Fase 8 (Universitários),D,18,Masculino,2022,Escola Pública,Ametista,7.783,8.8,10.0,7.5,,7.3,8.0,6.5,,7.292,5.0,-1,False
2022,RA-16,Aluno-16,7,7.0,Fase 8 (Universitários),D,19,Masculino,2022,Escola Pública,Ágata,6.112,7.9,8.3,5.0,,3.5,7.0,0.0,,6.333,5.0,-1,False
2022,RA-17,Aluno-17,7,7.0,Fase 8 (Universitários),D,20,Masculino,2022,Escola Pública,Topázio,8.068,8.8,10.0,7.5,,7.8,9.0,6.5,,8.292,5.0,-1,False
2022,RA-18,Aluno-18,7,7.0,Fase 8 (Universitários),D,19,Masculino,2022,Escola Pública,Ametista,7.226,6.3,8.7,6.3,,9.0,9.0,9.0,,6.875,5.0,-1,False
2022,RA-19,Aluno-19,7,7.0,Fase 8 (Universitários),D,19,Feminino,2022,Escola Pública,Ametista,7.665,7.9,9.5,7.5,,8.0,7.0,9.0,,7.0,5.0,-1,False
2022,RA-20,Aluno-20,7,7.0,Fase 8 (Universitários),D,19,Feminino,2022,Escola Pública,Ametista,7.535,7.1,10.0,6.3,,7.8,9.0,6.5,,7.167,5.0,-1,False
2022,RA-21,Aluno-21,7,7.0,Fase 8 (Universitários),D,18,Masculino,2022,Escola Pública,Ágata,6.945,9.6,9.2,7.5,,3.8,7.0,0.5,,7.25,5.0,-1,False
2022,RA-22,Aluno-22,6,6.0,Fase 7 (3º EM),A,17,Feminino,2019,Rede Decisão,Ametista,7.474,8.3,7.4,8.1,,6.7,9.0,3.1,7.8,8.833,5.0,-1,False
2022,RA-23,Aluno-23,6,6.0,Fase 7 (3º EM),A,17,Masculino,2021,Escola Pública,Ametista,7.677,8.3,8.2,8.1,,6.7,7.2,4.7,8.2,8.556,5.0,-1,False
2022,RA-24,Aluno-24,6,6.0,Fase 7 (3º EM),A,17,Feminino,2021,Rede Decisão,Topázio,8.087,9.2,7.9,6.9,,8.6,10.0,6.3,9.7,9.111,5.0,-1,False
2022,RA-25,Aluno-25,6,6.0,Fase 7 (3º EM),A,17,Feminino,2021,Escola Pública,Ametista,7.979,8.3,8.3,8.8,,6.9,9.2,3.8,7.7,9.667,5.0,-1,False
2022,RA-26,Aluno-26,6,6.0,Fase 7 (3º EM),A,17,Masculino,2022,Escola Pública,Topázio,8.677,9.6,8.8,10.0,,8.0,9.5,4.4,10.0,10.0,5.0,-1,False
2022,RA-27,Aluno-27,6,6.0,Fase 7 (3º EM),A,17,Masculino,2016,Rede Decisão,Ametista,7.124,0.0,7.6,8.1,,8.0,7.7,6.3,10.0,9.111,5.0,-1,False
2022,RA-28,Aluno-28,6,6.0,Fase 7 (3º EM),A,17,Feminino,2019,Escola Pública,Ágata,6.242,7.9,6.1,7.5,,5.0,8.2,1.5,5.3,6.333,5.0,-1,False
2022,RA-29,Aluno-29,6,6.0,Fase 7 (3º EM),A,17,Masculino,2022,Escola Pública,Quartzo,4.985,0.0,4.0,8.8,,3.7,6.3,1.1,3.8,7.611,5.0,-1,False
2022,RA-30,Aluno-30,6,6.0,Fase 6 (2º EM),A,16,Feminino,2021,Escola Pública,Ametista,7.605,8.8,6.4,7.5,,7.5,8.5,4.4,9.7,7.333,10.0,0,False
2022,RA-31,Aluno-31,6,6.0,Fase 7 (3º EM),A,17,Feminino,2019,Rede Decisão,Topázio,8.843,10.0,9.5,9.4,,8.0,9.0,5.7,9.3,10.0,5.0,-1,False
2022,RA-32,Aluno-32,6,6.0,Fase 6 (2º EM),A,16,Feminino,2018,Rede Decisão,Ametista,7.37,8.8,5.2,8.8,,6.1,5.7,3.6,8.9,7.944,10.0,0,False
2022,RA-33,Aluno-33,6,6.0,Fase 7 (3º EM),A,17,Feminino,2020,Escola Pública,Quartzo,4.952,0.0,4.6,7.5,,4.8,9.0,1.6,3.7,6.0,5.0,-1,False
2022,RA-34,Aluno-34,6,6.0,Fase 7 (3º EM),A,17,Masculino,2016,Rede Decisão,Ágata,6.259,9.6,4.8,8.1,,3.8,4.7,4.0,2.8,7.278,5.0,-1,False
2022,RA-35,Aluno-35,6,6.0,Fase 7 (3º EM),A,17,Feminino,2019,Rede Decisão,Topázio,8.965,10.0,9.6,9.4,,8.5,9.0,7.1,9.3,10.0,5.0,-1,False
2022,RA-36,Aluno-36,6,6.0,Fase 7 (3º EM),A,17,Feminino,2019,Rede Decisão,Ametista,7.876,9.2,9.0,6.9,,6.8,8.5,4.3,7.8,8.944,5.0,-1,False
2022,RA-37,Aluno-37,6,6.0,Fase 7 (3º EM),A,17,Feminino,2019,Rede Decisão,Quartzo,4.95,0.0,5.4,5.0,,5.9,2.3,5.3,10.0,5.222,5.0,-1,False
2022,RA-38,Aluno-38,6,6.0,Fase 7 (3º EM),A,17,Feminino,2017,Rede Decisão,Topázio,8.523,9.2,8.9,7.5,,8.6,9.0,7.0,9.7,9.833,5.0,-1,False
2022,RA-39,Aluno-39,6,6.0,Fase 6 (2º EM),A,16,Feminino,2017,Rede Decisão,Ágata,6.033,0.0,4.8,6.9,,6.9,7.7,5.1,7.8,6.111,10.0,0,False
2022,RA-40,Aluno-40,5,5.0,Fase 6 (2º EM),A,16,Feminino,2016,Rede Decisão,Ametista,7.203,7.9,7.8,7.5,,6.8,4.7,7.3,8.4,7.75,5.0,-1,False
2022,RA-41,Aluno-41,5,5.0,Fase 7 (3º EM),A,17,Masculino,2018,Escola Pública,Quartzo,5.581,9.2,6.1,5.0,,5.6,6.3,2.5,8.0,4.375,5.0,-2,False
2022,RA-42,Aluno-42,5,5.0,Fase 5 (1º EM),A,15,Masculino,2019,Rede Decisão,Ágata,6.72,8.3,7.9,5.6,,4.8,3.7,4.5,6.2,6.083,10.0,0,False
2022,RA-43,Aluno-43,5,5.0,Fase 6 (2º EM),A,16,Feminino,2019,Escola Pública,Quartzo,5.486,6.3,6.5,5.6,,4.3,4.0,5.8,3.2,5.958,5.0,-1,False
2022,RA-44,Aluno-44,5,5.0,Fase 7 (3º EM),A,17,Feminino,2021,Escola Pública,Quartzo,5.542,5.0,5.9,7.5,,3.0,2.3,3.5,3.2,7.292,5.0,-2,False
2022,RA-45,Aluno-45,5,5.0,Fase 5 (1º EM),A,15,Feminino,2019,Rede Decisão,Ametista,7.591,7.9,8.9,5.6,,6.8,6.3,5.2,8.8,7.417,10.0,0,False
2022,RA-46,Aluno-46,5,5.0,Fase 7 (3º EM),A,17,Feminino,2022,Escola Pública,Ágata,6.048,8.8,8.4,6.3,,2.1,2.8,2.8,0.7,7.083,5.0,-2,False
2022,RA-47,Aluno-47,5,5.0,Fase 7 (3º EM),A,17,Feminino,2022,Escola Pública,Quartzo,5.677,7.9,6.3,7.5,,2.1,2.5,2.2,1.5,7.042,5.0,-2,False
2022,RA-48,Aluno-48,5,5.0,Fase 5 (1º EM),A,15,Feminino,2017,Rede Decisão,Ametista,8.006,6.7,8.4,7.5,,8.1,6.7,8.0,9.5,8.5,10.0,0,False
2022,RA-49,Aluno-49,5,5.0,Fase 7 (3º EM),A,17,Feminino,2022,Escola Pública,Ágata,6.304,7.5,7.4,7.5,,3.9,1.5,4.2,6.2,7.042,5.0,-2,False
2022,RA-50,Aluno-50,5,5.0,Fase 8 (Universitários),A,18,Feminino,2022,Escola Pública,Ametista,7.138,7.5,8.4,7.5,,7.8,6.5,7.3,9.7,7.542,2.5,-3,False
2022,RA-51,Aluno-51,5,5.0,Fase 7 (3º EM),B,17,Feminino,2022,Escola Pública,Ágata,6.488,8.8,7.6,7.5,,5.0,4.5,4.5,6.0,6.5,5.0,-2,False
2022,RA-52,Aluno-52,5,5.0,Fase 3 (7º e 8º ano),B,13,Masculino,2018,Rede Decisão,Ametista,7.861,9.6,8.9,7.5,,6.2,3.3,6.3,8.8,7.5,10.0,2,False
